기간	자치구	구분	합계	합계	합계	합계	합계	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별
기간	자치구	구분	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체	단독	단독	본사본점 등	본사본점 등	공장지사(점)영업소	공장지사(점)영업소
기간	자치구	구분	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	구분	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2013	광진구	금융 및 보험업	202	26	3,257	1,559	1,698	27	63	137	2,577	38	617	-	-	65	336	12	671	125	2,250
2013	광진구	부동산업 및 임대업	1,133	397	3,343	2,241	1,102	882	1,438	136	859	9	40	106	1,006	1,086	2,865	18	155	29	323
2013	광진구	전문 과학 및 기술 서비스업	741	97	5,860	4,441	1,419	453	1,291	245	4,070	41	496	2	3	665	2,899	30	1,860	46	1,101
2013	광진구	사업시설관리 및 사업지원 서비스업	368	97	6,725	3,747	2,978	182	521	177	5,988	3	145	6	71	311	3,362	26	3,019	31	344
2013	광진구	공공행정 국방 및 사회보장 행정	36	2	2,746	1,876	870	-	-	-	-	36	2,746	-	-	36	2,746	-	-	-	-
2013	광진구	교육 서비스업	1,132	594	12,597	5,750	6,847	896	2,604	80	776	108	8,849	48	368	1,032	5,913	18	4,502	82	2,182
2013	광진구	보건업 및 사회복지 서비스업	831	319	9,131	2,082	7,049	730	4,797	6	142	31	3,371	64	821	805	6,252	3	170	23	2,709
2013	광진구	예술 스포츠 및 여가관련 서비스업	954	390	3,699	2,134	1,565	901	2,000	23	1,178	22	463	8	58	935	2,243	2	113	17	1,343
2013	광진구	협회 및 단체 수리 및 기타 개인서비스업	2,801	1,223	6,403	3,045	3,358	2,211	4,188	43	683	74	347	473	1,185	2,744	6,009	15	144	42	250
2013	동대문구	합계	31,972	10,532	132,100	71,707	60,393	27,678	60,449	3,074	42,234	490	25,696	730	3,721	30,781	92,580	302	15,597	889	23,923
2013	동대문구	광업	1	-	2	2	-	-	-	1	2	-	-	-	-	1	2	-	-	-	-
2013	동대문구	제조업	3,108	671	11,666	6,289	5,377	2,705	7,851	401	3,808	2	7	-	-	3,037	10,467	50	969	21	230
2013	동대문구	전기 가스 증기 및 수도사업	1	-	1	1	-	1	1	-	-	-	-	-	-	1	1	-	-	-	-
2013	동대문구	하수폐기물처리 원료재생 및 환경복원업	17	1	135	116	19	5	18	6	101	6	16	-	-	17	135	-	-	-	-
2013	동대문구	건설업	718	88	6,084	5,273	811	454	999	264	5,085	-	-	-	-	690	3,589	13	1,836	15	659
2013	동대문구	도매 및 소매업	11,418	3,744	31,164	18,585	12,579	9,941	18,798	1,449	12,195	20	151	8	20	11,009	25,296	113	1,850	296	4,018
2013	동대문구	운수업	3,635	150	7,203	6,313	890	3,544	4,003	70	2,290	18	886	3	24	3,606	5,250	7	984	22	969
2013	동대문구	숙박 및 음식점업	5,084	3,064	13,850	5,099	8,751	4,961	12,494	116	1,287	2	34	5	35	4,987	12,683	10	150	87	1,017
2013	동대문구	출판 영상 방송통신 및 정보서비스업	237	39	1,885	1,036	849	132	433	83	1,100	20	349	2	3	227	1,235	2	72	8	578
2013	동대문구	금융 및 보험업	304	36	4,760	1,560	3,200	38	47	205	4,114	61	599	-	-	76	337	17	222	211	4,201
2013	동대문구	부동산업 및 임대업	1,162	341	3,826	2,621	1,205	926	1,455	115	1,390	16	46	105	935	1,119	3,073	16	524	27	229
2013	동대문구	전문 과학 및 기술 서비스업	538	62	6,890	4,778	2,112	351	1,043	132	3,591	39	2,192	16	64	479	2,862	31	3,532	28	496
2013	동대문구	사업시설관리 및 사업지원 서비스업	306	79	6,295	3,391	2,904	173	366	123	5,083	5	805	5	41	269	3,054	12	2,861	25	380
2013	동대문구	공공행정 국방 및 사회보장 행정	52	-	3,453	2,545	908	-	-	-	-	52	3,453	-	-	52	3,453	-	-	-	-
2013	동대문구	교육 서비스업	925	477	14,743	6,459	8,284	724	1,936	49	1,565	106	10,963	46	279	846	6,742	11	2,192	68	5,809
2013	동대문구	보건업 및 사회복지 서비스업	908	332	12,037	3,297	8,740	806	5,876	3	17	33	5,212	66	932	884	7,275	3	80	21	4,682
2013	동대문구	예술 스포츠 및 여가관련 서비스업	739	295	2,119	1,160	959	696	1,381	18	117	16	557	9	64	725	1,606	4	144	10	369
2013	동대문구	협회 및 단체 수리 및 기타 개인서비스업	2,819	1,153	5,987	3,182	2,805	2,221	3,748	39	489	94	426	465	1,324	2,756	5,520	13	181	50	286
2013	중랑구	합계	27,490	9,152	96,038	51,218	44,820	24,765	56,363	1,587	23,118	329	13,246	809	3,311	26,713	78,477	144	6,862	633	10,699
2013	중랑구	광업	2	1	4	2	2	-	-	2	4	-	-	-	-	2	4	-	-	-	-
2013	중랑구	제조업	3,290	896	14,641	6,189	8,452	3,101	12,761	184	1,824	4	53	1	3	3,250	14,071	19	293	21	277
2013	중랑구	전기 가스 증기 및 수도사업	2	-	109	73	36	-	-	1	24	1	85	-	-	1	24	-	-	1	85
2013	중랑구	하수폐기물처리 원료재생 및 환경복원업	20	2	232	178	54	5	21	11	202	4	9	-	-	18	189	-	-	2	43
