,title,url,date,summary
45,스포츠 분야에 머신러닝 적용해 재미 더한다,https://cp.news.search.daum.net/p/96450818, 2020.08.20 | 아이티데일리 ,데일리] 컴퓨터 스스로 방대한 데이터를 알고리즘에 넣어 미래를 예측하는 기술인 머신러닝이 스포츠 분야에도 적극 활용되고 있다. 모터스포츠 포뮬러 원의 주행차에 대한...
46,[경제·금융 상식 퀴즈 O X] 10월 12일 (678),http://v.media.daum.net/v/20201012090212377?f=o, 8시간전 | 한국경제 | 다음뉴스 ,겪었다. 미래 유망 산업의 하나로 꼽히는 이것은? ① 빅데이터② 2차전지③ 전장④ 머신러닝 5.코로나19 등과 같은 외부 요인에 의해 억눌렸던 소비가 한꺼번에 분출되는...
47,"이글루시큐리티, AI 특허 2건 취득..""머신러닝 알고리즘 정확성↑""",http://v.media.daum.net/v/20200804094404522?f=o, 2020.08.04 | 이데일리 | 다음뉴스 ,이후섭 기자] 이글루시큐리티(067920)는 레이블링과 피드백 과정의 개선을 통해 머신러닝 알고리즘의 정확성을 높이는 2건의 인공지능(AI) 관련 특허 기술을 취득했다고 4일...
48,"[충남콘텐츠기업지원센터] VR 에듀케이션 스타트업, 페어립",http://v.media.daum.net/v/20201012145037763?f=o, 2시간전 | 파이낸셜뉴스 | 다음뉴스 ,"멀미 감소 방법을 개발하였고, 가속도 센서 및 자이로 센서 오차보정 특허 등록, 머신러닝 적용 센서오차보정 특허 등록 및 KOLAS 인증을 획득하였다. 현재 5개 초등학교..."
49,기존 바이오센서보다 10배 이상 민감한 바이오센서 설계 기술 개발,http://v.media.daum.net/v/20201012104108376?f=o, 6시간전 | 전자신문 | 다음뉴스 ,메타물질을 이용해 DNA 등 미세한 생체 분자 측정이 가능한 광 기반 바이오센서를 머신러닝 알고리즘들을 조합해 효율적으로 디자인하는 기술이다. 시뮬레이션 결과를 바탕...
50,"""포스트 코로나 먹거리는 AI"" IT업계 경쟁 가속화",http://v.media.daum.net/v/20201012161033457?f=o, 1시간전 | 데일리안 | 다음뉴스 ,"앞서 엔씨는 AI를 적용한 야구 플랫폼 페이지, AI가 스스로 기사를 작성하는 머신러닝 기자를 선보이며 이목을 끌기도 했다. 회사는 2011년부터 윤송이 사장 주도로 AI연구..."
51,"슈퍼브에이아이, 머신러닝 데이터 플랫폼 글로벌 공략 나섰다!",https://cp.news.search.daum.net/p/96706851, 2020.08.27 | 인공지능신문 ,3000억원대(2019년 기준)로 아직 많은 성장이 필요한 상황이다. 슈퍼브에이아이는 머신러닝 데이터 플랫폼 ‘스위트(Suite)’를 필두로 미국에 진입한다. 스위트는 인공지능...
52,[포커스 인①] 자바·파이썬 기반 머신러닝 빅데이터의 미래는 소...,https://cp.news.search.daum.net/p/97936906, 2020.09.29 | 에듀동아 ,"아이티(IT)컴퓨터학원에서는 자바(Java) 웹&앱 개발, 파이썬 빅데이터 기반 딥러닝 머신러닝 개발 등 교육과정에 도입되어 사례와 프로젝트 중심의 강의로 운영되고 있다.03..."
53,"[소년중앙] ""고립된 곳 구호품 어떻게 보낼까"" 사람 대신 드론이 ...",http://v.media.daum.net/v/20201012155328690?f=o, 1시간전 | 중앙일보 | 다음뉴스 ,넓이를 자동으로 파악할 수 있어요. 드론이 코알라를 포착하면 연구팀이 개발한 AI 머신러닝 알고리즘이 코알라의 개체 수를 분석하여 데이터화합니다. 미국 비영리기관...
54,"우리가 알던 그곳? AR게임과 공연 입혀 새로운 곳으로, 트레져니",http://v.media.daum.net/v/20201012105051803?f=o, 6시간전 | 아이뉴스24 | 다음뉴스 ,"이외에도 불편함 없이 미션을 수행하기 위한 기술을 여럿 보유하고 있다. 차별화된 머신러닝, 컴퓨터 비전, IoT, 위치기반(LBS) 기술 등을 활용해 저비용으로 실감 콘텐츠를..."
55,글로벌 항공사들 비용 절감 및 새로운 수익 창출 위해 AI와 머신...,https://cp.news.search.daum.net/p/97407687, 2020.09.15 | 인공지능신문 ,"비용 절감과 및 새로운 수익 창출을 기대할 수 있는 모빌리티와 인공지능(AI), 머신러닝, 빅데이터 분석 등 차세대 디지털 솔루션 도입에 주력하고 있다""며, ""이미 주요..."
56,[영업이익 강소기업]하이퍼커넥트 | 영상 대화 '손바닥 위의 지구...,http://v.media.daum.net/v/20201012095121546?f=o, 7시간전 | 매경이코노미 | 다음뉴스 ,가볍고 빠른 딥러닝 엔진을 통해 이미지를 빠르게 인식할 수 있도록 돕는 ‘하이퍼머신러닝’ 등을 개발했다. 임성수 국민대 소프트웨어융합대학 학장은 “일찍이 현지화...
57,"[박정현의 ML예비개발자를 위한 원샷 레슨] ⓛ데이터사이언스, 머...",https://cp.news.search.daum.net/p/96733957, 2020.08.27 | AI타임스 ,들어가며... '인공지능' '머신러닝' '데이터사이언스'는 더이상 공상과학 영화나 책에서만 보고 듣는 용어가 아니다. 이미 알게 모르게 우리 실생활에 들어와 있다. 이세돌...
58,제주에서 세 번째 열린 머신러닝 블록체인 캠프 2020 성료,https://cp.news.search.daum.net/p/96646233, 2020.08.25 | 미디어제주 ,[미디어제주 홍석준 기자] 제주대학교와 JDC가 공동으로 개최한 머신러닝 캠프 ‘UMLC2020 × 블록체인 캠프’가 27일 성공적으로 마무리됐다.지난 2018년 시작돼 올해 세...
59,[조재환의 카테크] 당산부터 여의도까지 핸들 안 잡고 갈 수 있다고?,http://v.media.daum.net/v/20201011101728247?f=o, 2020.10.11 | 지디넷코리아 | 다음뉴스 ,"운전을 해야 한다. 현대차는 올해 초부터 출시한 제네시스 GV80, 3세대 G80 등에 ‘머신러닝 스마트 크루즈 컨트롤’ 기능을 적용시켰다. 게다가 자동 차선 변경 기능을..."
60,"머신러닝, IoT, 엣지 컴퓨팅에 새로운 경험을... Arm 최초의 64 ...",https://cp.news.search.daum.net/p/97157941, 2020.09.09 | 인공지능신문 ,"이루어지도록 함으로써 작업 효율성과 인사이트 발굴 능력을 높인다. 또한 머신러닝, IoT 및 엣지 컴퓨팅 등을 아우르는 폭넓은 분야에 적용될 수 있으며, 최고의 유연성을..."
61,머신러닝과 클라우드가 알아낸 역대 가장 빠른 드라이버는?,https://cp.news.search.daum.net/p/96450579, 2020.08.20 | 넥스트데일리 ,제공하는 최신 F1 통계(F1 Insight)인 ‘가장 빠른 드라이버(Fastest Driver)’는 머신러닝 기술을 활용해 F1 경주차 간의 차이를 배제하고 1983년부터 현재까지 모든...
62,"삶의 질 정보 활용한 머신러닝 , 폐암 생존 예측 정확도 높여",http://v.media.daum.net/v/20200803143000473?f=o, 2020.08.03 | 이데일리 | 다음뉴스 ,"[이데일리 이순용 기자]머신러닝 및 AI(인공지능) 관련 기술이 혁신적으로 발전하는 가운데, 의료 현장에 이를 적용하려는 노력이 점차 늘고 있다. 머신러닝 및 AI 관련..."
63,"AI 머신러닝 모델, 자동으로 생성하고 스스로 진화하는... 구글 '...",https://cp.news.search.daum.net/p/96541821, 2020.08.22 | 인공지능신문 ,생성할 수 있는 ‘AutoML-Zero’ 알고리즘을 'AutoML-Zero: 처음부터 진화하는 머신러닝 알고리즘(AutoML-Zero: Evolving Machine Learning Algorithms from Scratch)' 논문...
64,[주간HOT종목]외국인 투심 '카카오'로..3분기도 호실적 기대,http://v.media.daum.net/v/20201011182559991?f=o, 23시간전 | 아시아경제 | 다음뉴스 ,"아니라 비금융 정보로도 씬파일러들이 금융상품 누리게 한다, 리스크 관리 시스템. 머신러닝 통해서 오류 상황을 자동으로 인지하는 시스템도 가동 중""이라고 설명했다..."
65,특집-보험사기 예방‧심사시스템 어디까지 왔나,https://cp.news.search.daum.net/p/98210347, 17시간전 | 보험신보 ,"AI기반 보험사기 예측시스템을 자체 개발해 운영 중이다. 해당 시스템은 AI 기술 중에서 머신러닝 기법을 탑재해 계약 후 사고 경과 기간, 납입횟수, 청구금액, 특약 가입..."
66,DNA 결합 측정으로 각종 질병 진단,https://cp.news.search.daum.net/p/98193585, 2020.10.11 | 메디팜헬스뉴스 ,"대구경북첨단의료산업진흥재단(이사장 이영호, 이하 ‘재단’)이 머신러닝을 이용해 광(光) 기반 바이오센서를 효율적으로 설계하는 기술을 연구했다. 이번 설계기술 연구..."
67,"[Pangho Tehcnovalley, Innovation hub in ASIA] AI•머신러닝 기...",https://cp.news.search.daum.net/p/97878109, 2020.09.28 | 에이빙 ,-AI 엔진 응용서비스 활용한 '스마트주차관리시스템' 개발-무인·원격관리를 실현하는 IoT 기반의 '스마트 모니터링 솔루션' 사람들의 이동을 편리하게 만드는 모빌리티...
68,"오라클, ERP 클라우드 주요 업데이트 사항 발표",https://cp.news.search.daum.net/p/98224754, 5시간전 | 헬로티 ,필요한 복잡한 문제에 인력을 재배치할 수 있다. 지능형 계정 기본값 조합 설정: 머신러닝을 기반으로 구매 주문과 관련되지 않은 송장에 대한 코드 세그먼트를 자동으로...
69,"[이슈] AI 광고 기업 아키(Aarki), 목표수익률 초과 달성 3개 게...",http://v.media.daum.net/v/20201005091724123?f=o, 2020.10.05 | 데일리e스포츠 | 다음뉴스 ,단기간 달성 트라이윈게임즈 광고 추적 제한(LAT) 환경에서도 30% 높은 ROI 달성 머신러닝(AI)과 빅데이터를 활용하는 글로벌 모바일 광고 기업 아키(Aarki)가 5일 자사의...
70,"슈퍼브에이아이, 'AI인프라연합'에 합류",http://v.media.daum.net/v/20201007171715746?f=o, 2020.10.07 | 지디넷코리아 | 다음뉴스 ,"많은 주목을 받고 있는 MLOps(Machine Learning Operations)는 데이터 관리 및 머신러닝 시스템 개발과 서비스 운영을 통합, 안정적으로 서비스를 운영하면서도 신속하고..."
71,"아마존 머신러닝 대학, 'AI 온라인 강좌' 누구나 학습할 수 있도...",https://cp.news.search.daum.net/p/96305247, 2020.08.14 | 인공지능신문 ,"인공지능의 서브셋인 머신러닝(Machine Learning)은 인간의 상호작용 없이 데이터의 패턴과 구조를 분석하여 학습, 추론, 의사결정에 도움을 주는 전산과학 분야다. 여기에..."
